mes,numero_dia,dia,hora,departamento,delito,sexo
1,1,VIERNES,12:00:00 AM,AMAZONAS,ACTOS_SEXUALES_CON_MENOR_DE_14_AÑOS,FEMENINO
1,1,VIERNES,04:30:00 AM,ANTIOQUIA,ACCESO_CARNAL_VIOLENTO,FEMENINO
1,1,VIERNES,12:00:00 AM,ANTIOQUIA,ACCESO_CARNAL_ABUSIVO_CON_MENOR_DE_14_AÑOS,FEMENINO
1,1,VIERNES,12:00:00 AM,ANTIOQUIA,ACTOS_SEXUALES_CON_MENOR_DE_14_AÑOS,FEMENINO
1,1,VIERNES,12:00:00 AM,ANTIOQUIA,ACTOS_SEXUALES_CON_MENOR_DE_14_AÑOS,FEMENINO
1,1,VIERNES,12:00:00 AM,ANTIOQUIA,ACTOS_SEXUALES_CON_MENOR_DE_14_AÑOS,FEMENINO
1,1,VIERNES,12:00:00 AM,ANTIOQUIA,ACTOS_SEXUALES_CON_MENOR_DE_14_AÑOS,FEMENINO
1,1,VIERNES,01:00:00 AM,ANTIOQUIA,ACCESO_CARNAL_ABUSIVO_CON_MENOR_DE_14_AÑOS,FEMENINO
1,1,VIERNES,12:00:00 AM,ANTIOQUIA,ACOSO_SEXUAL,FEMENINO
1,1,VIERNES,12:00:00 AM,ANTIOQUIA,ACTOS_SEXUALES_CON_MENOR_DE_14_AÑOS,FEMENINO
1,1,VIERNES,07:00:00 PM,ANTIOQUIA,ACCESO_CARNAL_ABUSIVO_CON_MENOR_DE_14_AÑOS,FEMENINO
1,1,VIERNES,05:00:00 PM,ANTIOQUIA,ACTOS_SEXUALES_CON_MENOR_DE_14_AÑOS,FEMENINO
1,1,VIERNES,12:00:00 AM,ANTIOQUIA,ACTOS_SEXUALES_CON_MENOR_DE_14_AÑOS,FEMENINO
1,1,VIERNES,12:00:00 AM,ANTIOQUIA,ACTOS_SEXUALES_CON_MENOR_DE_14_AÑOS,FEMENINO
